"itemId","globalId","x","y"
"945","972_and_973","341.2764583333335","291.3009583333335"
"946","972_and_974","334.5897916666668","291.3009583333335"
"947","974_and_975","327.90312500000016","291.3009583333335"
"948","976_and_977","343.14562500000017","276.9634583333335"
"949","978_and_979","375.63979166666684","271.3092916666668"
"950","978_and_980","372.7147916666668","267.7059583333335"
"951","979_and_980","372.7147916666668","274.4267916666668"
"952","980_and_981","360.7381250000002","274.93512500000014"
"953","982_and_983","349.8339583333335","267.37262500000014"
"954","984_and_985","359.7481250000002","285.06512500000014"
"955","984_and_986","359.7481250000002","288.84595833333344"
"956","984_and_987","359.7481250000002","291.88345833333346"
"957","986_and_987","360.1206250000002","290.5292916666668"
"958","987_and_988","368.6489583333335","291.88345833333346"
"959","989_and_990","380.8881250000002","263.1059583333335"
"960","991_and_992","306.0356250000001","286.64095833333346"
"961","991_and_994","316.0006250000001","286.64095833333346"
"962","992_and_994","310.9914583333334","278.97262500000016"
"963","993_and_994","312.2614583333334","271.3042916666668"
"964","995_and_996","378.6881250000002","281.13679166666685"
